generation,field_name,levenshtein_similarity,cosine_similarity
0,company_name,0.9230769230769231,0.9843158721923828
0,contact_person_name,0.0,0.25598499178886414
0,contact_person_role,0.19999999999999996,0.13142845034599304
0,contact_person_email,0.11764705882352944,0.14504995942115784
0,contact_person_phone,0.0,0.18027272820472717
0,is_decision_maker,1.0,1.0000001192092896
0,industry,1.0,1.0
0,address,0.07317073170731703,0.07929672300815582
0,purpose_of_request,0.030000000000000027,0.012278547510504723
0,lead_source,0.04109589041095896,0.1295313537120819
0,worked_with_ur_before,0.07843137254901966,0.04392421245574951
0,in_house_automation_resources_description,0.4452054794520548,0.8448613882064819
0,in_house_team_skill_level,0.728813559322034,0.7874882221221924
0,installation_responsibility,0.02941176470588236,0.0026838593184947968
0,preferred_installation_timeline,0.07999999999999996,0.17373761534690857
0,deployment_process_preference,0.024193548387096753,-0.023383693769574165
0,application_description,0.019736842105263164,0.017803804948925972
0,application_criticality,0.040000000000000036,0.21208873391151428
0,application_type_and_sub_type,0.030303030303030276,0.07862089574337006
0,part_variety_description,0.03260869565217395,0.12243186682462692
0,part_dimensions_description,0.05769230769230771,0.06596694141626358
0,part_weight_description,0.050000000000000044,0.21848396956920624
0,desired_throughput,0.03797468354430378,0.24192222952842712
0,budget_for_project,0.03157894736842104,0.20641860365867615
0,project_completion_timeline_ideal,0.3015873015873016,0.7992968559265137
0,project_timeline_constraints,0.02857142857142858,0.07247515022754669
0,key_decision_makers_description,0.6733333333333333,0.8759483098983765
0,company_history_summary,0.03191489361702127,-0.0013657733798027039
0,key_stakeholders_summary,0.021276595744680882,0.014508575201034546
0,company_differentiation_summary,0.02238805970149249,0.03506781905889511
0,primary_products_services_summary,0.03191489361702127,0.0043551502749323845
0,innovation_approach_summary,0.02400000000000002,0.03804229944944382
1,company_name,0.9230769230769231,0.9843158721923828
1,contact_person_name,0.0714285714285714,0.2967514991760254
1,contact_person_role,0.2272727272727273,0.41762715578079224
1,contact_person_email,0.11764705882352944,0.1450500190258026
1,contact_person_phone,0.0,0.18027269840240479
1,is_decision_maker,0.25,0.20541521906852722
1,industry,0.09090909090909094,0.11627086251974106
1,address,0.07317073170731703,0.07929658889770508
1,purpose_of_request,0.20999999999999996,0.536022424697876
1,lead_source,0.04109589041095896,0.12953145802021027
1,worked_with_ur_before,0.07843137254901966,0.04392421990633011
1,in_house_automation_resources_description,0.025423728813559365,0.08406510949134827
1,in_house_team_skill_level,0.025423728813559365,0.08168737590312958
1,installation_responsibility,0.02941176470588236,0.002683715894818306
1,preferred_installation_timeline,0.25,0.5463038682937622
1,deployment_process_preference,0.024193548387096753,-0.02338368073105812
1,application_description,0.019736842105263164,0.017803816124796867
1,application_criticality,0.040000000000000036,0.21208879351615906
1,application_type_and_sub_type,0.030303030303030276,0.07862092554569244
1,part_variety_description,0.19565217391304346,0.3414451479911804
1,part_dimensions_description,0.05769230769230771,0.06596685200929642
1,part_weight_description,0.050000000000000044,0.21848398447036743
1,desired_throughput,0.03797468354430378,0.24192236363887787
1,budget_for_project,0.03157894736842104,0.20641860365867615
1,project_completion_timeline_ideal,0.031746031746031744,0.05278830602765083
1,project_timeline_constraints,0.02857142857142858,0.07247517257928848
1,key_decision_makers_description,0.020000000000000018,0.05961092561483383
1,company_history_summary,0.03191489361702127,-0.0013658050447702408
1,key_stakeholders_summary,0.021276595744680882,0.014508599415421486
