generation,field_name,score_gpt4o,error_type_gpt4o,explanation_gpt4o,score_llama3-70b,error_type_llama3-70b,explanation_llama3-70b
0,company_name,5,faithful,"The candidate value is fully faithful to the ground truth, with only a minor punctuation difference.",5,faithful,"The candidate value is an exact match to the ground-truth value, preserving the same meaning and wording."
0,contact_person_name,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,contact_person_role,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,contact_person_email,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,contact_person_phone,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,is_decision_maker,5,faithful,The candidate value is fully faithful as it exactly matches the ground-truth value.,5,faithful,"The candidate value exactly matches the ground-truth value, preserving the same meaning and semantic information."
0,industry,5,faithful,"The candidate value is identical to the ground-truth value, preserving the full semantic meaning.",5,faithful,"The candidate value is identical to the ground-truth value, preserving the exact same meaning."
0,address,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,purpose_of_request,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,lead_source,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,worked_with_ur_before,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,in_house_automation_resources_description,4,mostly_faithful,"The candidate accurately describes the maintenance team and lack of dedicated robotics engineers, but adds a detail about mechanical skills and collaborative robots not present in the ground truth.",4,faithful,"The candidate mostly preserves the ground truth's meaning, with minor additions and rephrasing, but maintains the core idea of a small maintenance team with limited automation expertise."
0,in_house_team_skill_level,5,faithful,"The candidate preserves the full semantic meaning of the ground truth, only omitting the word 'Beginner' which is implied by the rest of the description.",5,faithful,"The candidate value is almost identical to the ground truth, preserving the same meaning and details with only minor wording differences."
0,installation_responsibility,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,preferred_installation_timeline,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,deployment_process_preference,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,application_description,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
0,application_criticality,0,omitted,The field was empty or null.,0,omitted,The field was empty or null.
