# Explanation of columns:
# - field_name: The name of the data field from the report schema.
# - duration: The generation number at which the field's value was lost (became null). If the field survived all generations, this is the total number of generations.
# - event: A binary flag for survival analysis. 1 indicates the field was lost ('death' event occurred), 0 indicates the field survived to the end (data is 'censored').
field_name,duration,event
company_name,10,0
contact_person_name,10,0
contact_person_role,10,0
contact_person_email,0,1
contact_person_phone,10,0
is_decision_maker,10,0
industry,10,0
address,10,0
purpose_of_request,10,0
lead_source,0,1
worked_with_ur_before,0,1
in_house_automation_resources_description,2,1
in_house_team_skill_level,6,1
installation_responsibility,1,1
preferred_installation_timeline,2,1
deployment_process_preference,0,1
application_description,1,1
application_criticality,0,1
application_type_and_sub_type,0,1
part_variety_description,2,1
part_dimensions_description,1,1
part_weight_description,2,1
desired_throughput,1,1
budget_for_project,4,1
project_completion_timeline_ideal,1,1
project_timeline_constraints,0,1
key_decision_makers_description,4,1
company_history_summary,10,0
key_stakeholders_summary,0,1
company_differentiation_summary,0,1
primary_products_services_summary,0,1
innovation_approach_summary,0,1
