generation,field_name,levenshtein_similarity,cosine_similarity
0,company_name,1.0,1.0
0,contact_person_name,0.0,0.25598499178886414
0,contact_person_role,0.19999999999999996,0.13142848014831543
0,contact_person_email,0.11764705882352944,0.14504998922348022
0,contact_person_phone,0.0,0.18027275800704956
0,is_decision_maker,0.25,0.20541517436504364
0,industry,0.09090909090909094,0.11627086997032166
0,address,0.07317073170731703,0.07929660379886627
0,purpose_of_request,1.0,1.0
0,lead_source,0.04109589041095896,0.12953133881092072
0,worked_with_ur_before,0.07843137254901966,0.04392426460981369
0,in_house_automation_resources_description,0.025423728813559365,0.08406504988670349
0,in_house_team_skill_level,0.025423728813559365,0.08168734610080719
0,installation_responsibility,0.02941176470588236,0.002683781087398529
0,preferred_installation_timeline,0.07999999999999996,0.17373760044574738
0,deployment_process_preference,0.024193548387096753,-0.023383837193250656
0,application_description,0.8379888268156425,0.9050623178482056
0,application_criticality,0.040000000000000036,0.21208879351615906
0,application_type_and_sub_type,0.030303030303030276,0.07862095534801483
0,part_variety_description,0.03260869565217395,0.12243186682462692
0,part_dimensions_description,0.05769230769230771,0.06596686691045761
0,part_weight_description,0.050000000000000044,0.21848389506340027
0,desired_throughput,0.3417721518987342,0.7803947925567627
0,budget_for_project,0.03157894736842104,0.20641863346099854
0,project_completion_timeline_ideal,0.031746031746031744,0.05278830975294113
0,project_timeline_constraints,0.02857142857142858,0.07247516512870789
0,key_decision_makers_description,0.020000000000000018,0.059610940515995026
0,company_history_summary,0.39830508474576276,0.938056468963623
0,key_stakeholders_summary,0.021276595744680882,0.01450863666832447
0,company_differentiation_summary,0.02238805970149249,0.03506777435541153
0,primary_products_services_summary,0.03191489361702127,0.004355090670287609
0,innovation_approach_summary,0.02400000000000002,0.038042329251766205
1,company_name,1.0,1.0
1,contact_person_name,0.0,0.25598499178886414
1,contact_person_role,0.19999999999999996,0.13142848014831543
1,contact_person_email,0.11764705882352944,0.14504998922348022
1,contact_person_phone,0.0,0.18027275800704956
1,is_decision_maker,0.25,0.20541517436504364
1,industry,0.09090909090909094,0.11627086997032166
1,address,0.07317073170731703,0.07929660379886627
1,purpose_of_request,0.030000000000000027,0.012278604321181774
1,lead_source,0.04109589041095896,0.12953133881092072
1,worked_with_ur_before,0.07843137254901966,0.04392426460981369
1,in_house_automation_resources_description,0.025423728813559365,0.08406504988670349
1,in_house_team_skill_level,0.025423728813559365,0.08168734610080719
1,installation_responsibility,0.02941176470588236,0.002683781087398529
1,preferred_installation_timeline,0.07999999999999996,0.17373760044574738
1,deployment_process_preference,0.024193548387096753,-0.023383837193250656
1,application_description,0.8156424581005587,0.8810766935348511
1,application_criticality,0.040000000000000036,0.21208879351615906
1,application_type_and_sub_type,0.030303030303030276,0.07862095534801483
1,part_variety_description,0.28260869565217395,0.5565967559814453
1,part_dimensions_description,0.05769230769230771,0.06596686691045761
1,part_weight_description,0.050000000000000044,0.21848389506340027
1,desired_throughput,0.03797468354430378,0.2419223189353943
1,budget_for_project,0.03157894736842104,0.20641863346099854
1,project_completion_timeline_ideal,0.031746031746031744,0.05278830975294113
1,project_timeline_constraints,0.02857142857142858,0.07247516512870789
1,key_decision_makers_description,0.020000000000000018,0.059610940515995026
1,company_history_summary,0.39830508474576276,0.938056468963623
1,key_stakeholders_summary,0.021276595744680882,0.01450863666832447
1,company_differentiation_summary,0.02238805970149249,0.03506777435541153
1,primary_products_services_summary,0.23902439024390243,0.32806098461151123
1,innovation_approach_summary,0.02400000000000002,0.038042329251766205
2,company_name,1.0,0.9999998807907104
2,contact_person_name,0.0,0.2559850215911865
2,contact_person_role,0.19999999999999996,0.1314285397529602
2,contact_person_email,0.11764705882352944,0.14504995942115784
2,contact_person_phone,0.0,0.18027263879776
2,is_decision_maker,0.25,0.20541515946388245
2,industry,0.09090909090909094,0.11627083271741867
2,address,0.07317073170731703,0.07929657399654388
2,purpose_of_request,0.030000000000000027,0.012278605252504349
2,lead_source,0.04109589041095896,0.1295313537120819
2,worked_with_ur_before,0.07843137254901966,0.04392411559820175
2,in_house_automation_resources_description,0.025423728813559365,0.08406506478786469
2,in_house_team_skill_level,0.025423728813559365,0.08168733865022659
2,installation_responsibility,0.02941176470588236,0.0026836860924959183
